support,itemsets
0.053774034641665344,"['870', '871']"
0.04833942475766725,"['870', '872']"
0.037247735579215,"['715', '712']"
0.0323851898935325,"['870', '712']"
0.03213093913872557,"['712', '711']"
0.03139996821865565,"['708', '712']"
0.030414746543778803,"['930', '921']"
0.03035118385507707,"['707', '712']"
0.028762116637533766,"['715', '711']"
0.027967583028762115,"['715', '708']"
0.026950580009534403,"['708', '711']"
0.02656920387732401,"['707', '715']"
0.026378515811218816,"['712', '715', '711']"
0.026028921023359287,"['715', '708', '712']"
0.02567932623549976,"['934', '923']"
0.025647544891148896,"['715', '708', '711']"
0.025552200858096296,"['712', '708', '711']"
0.02520260607023677,"['707', '711']"
0.025170824725885905,"['707', '708']"
0.024948355315429844,"['921', '873']"
0.02482122993802638,"['712', '715', '708', '711']"
0.02466232321627205,"['921', '929']"
0.024312728428412523,"['707', '715', '711']"
0.024312728428412523,"['707', '708', '711']"
0.02424916573971079,"['707', '715', '708']"
0.024217384395359923,"['707', '715', '712']"
0.024058477673605593,"['707', '708', '712']"
0.023994914984903862,"['712', '707', '711']"
0.023549976163991737,"['707', '715', '708', '711']"
0.023549976163991737,"['714', '712']"
0.023422850786588272,"['707', '715', '708', '712']"
0.02335928809788654,"['712', '707', '715', '711']"
0.023327506753535676,"['712', '707', '708', '711']"
0.023168600031781346,"['714', '711']"
0.02278722389957095,"['714', '708']"
0.022755442555220086,"['715', '708', '711', '707', '712']"
0.022691879866518355,"['870', '708']"
0.022596535833465756,"['707', '714']"
0.02240584776736056,"['870', '711']"
0.022278722389957095,"['870', '707']"
0.02135706340378198,"['715', '714']"
0.020943905927220723,"['714', '708', '712']"
0.020912124582869854,"['712', '714', '711']"
0.020784999205466392,"['707', '714', '712']"
0.020753217861115524,"['707', '714', '708']"
0.020753217861115524,"['715', '714', '708']"
0.020721436516764658,"['715', '714', '712']"
0.020721436516764658,"['707', '714', '711']"
0.020721436516764658,"['714', '708', '711']"
0.020689655172413793,"['707', '715', '714']"
0.020689655172413793,"['715', '714', '711']"
0.020467185761957732,"['716', '712']"
0.020212935007150802,"['715', '714', '708', '712']"
0.02014937231844907,"['715', '714', '708', '711']"
0.020117590974098206,"['707', '714', '708', '712']"
0.020117590974098206,"['707', '715', '714', '708']"
0.020085809629747337,"['712', '714', '708', '711']"
0.020054028285396472,"['712', '715', '714', '711']"
0.020054028285396472,"['707', '715', '714', '712']"
0.020054028285396472,"['707', '715', '714', '711']"
0.020054028285396472,"['707', '714', '708', '711']"
0.020022246941045607,"['707', '716']"
0.019958684252343876,"['712', '707', '714', '711']"
0.019863340219291276,"['716', '708']"
0.019863340219291276,"['716', '711']"
0.019767996186238677,"['859', '711']"
0.019609089464484347,"['715', '708', '711', '714', '712']"
0.01957730812013348,"['715', '708', '707', '714', '712']"
0.01951374543143175,"['715', '708', '711', '707', '714']"
0.019450182742730016,"['708', '711', '707', '714', '712']"
0.01941840139837915,"['715', '711', '707', '714', '712']"
0.01941840139837915,"['870', '880']"
0.01925949467662482,"['859', '708']"
0.01925949467662482,"['922', '932']"
0.019164150643572225,"['859', '707']"
0.018973462577467026,"['715', '708', '711', '707', '714', '712']"
0.01894168123311616,"['922', '933']"
0.0187192118226601,"['922', '873']"
0.0186238677896075,"['716', '714']"
0.01856030510090577,"['715', '716']"
0.018369617034800573,"['870', '877']"
0.01814714762434451,"['716', '708', '712']"
0.018115366279993644,"['707', '716', '711']"
0.01808358493564278,"['707', '716', '708']"
0.018020022246941044,"['712', '716', '711']"
0.018020022246941044,"['859', '715']"
0.018020022246941044,"['707', '716', '712']"
0.018020022246941044,"['716', '708', '711']"
0.01798824090259018,"['715', '716', '711']"
0.017956459558239313,"['707', '716', '715']"
0.017892896869537583,"['715', '716', '708']"
0.01782933418083585,"['715', '716', '712']"
0.017702208803432384,"['707', '716', '714']"
0.017638646114730653,"['922', '931']"
0.017606864770379788,"['716', '714', '711']"
0.017575083426028922,"['716', '714', '708']"
0.017511520737327188,"['716', '714', '712']"
0.017447958048625457,"['715', '716', '714']"
0.017416176704274592,"['707', '716', '708', '711']"
0.017416176704274592,"['707', '716', '715', '711']"
0.017384395359923723,"['715', '716', '708', '711']"
0.017320832671221992,"['707', '716', '708', '712']"
0.017320832671221992,"['712', '716', '708', '711']"
0.017320832671221992,"['715', '716', '708', '712']"
0.017320832671221992,"['707', '716', '715', '708']"
0.017289051326871127,"['859', '712']"
0.017289051326871127,"['859', '715', '708']"
0.017257269982520262,"['712', '707', '716', '711']"
0.017257269982520262,"['712', '715', '716', '711']"
0.017225488638169393,"['707', '716', '715', '712']"
0.017193707293818528,"['859', '715', '711']"
0.017161925949467662,"['859', '715', '712']"
0.017130144605116797,"['859', '708', '711']"
0.017066581916415063,"['859', '707', '715']"
0.017066581916415063,"['707', '716', '714', '708']"
0.017066581916415063,"['712', '859', '711']"
0.017066581916415063,"['859', '708', '712']"
0.017066581916415063,"['707', '716', '714', '711']"
0.017003019227713332,"['707', '716', '714', '712']"
0.017003019227713332,"['859', '715', '708', '711']"
0.016971237883362467,"['707', '716', '715', '714']"
0.016971237883362467,"['859', '707', '711']"
0.016971237883362467,"['859', '707', '708']"
0.0169394565390116,"['716', '714', '708', '712']"
0.0169394565390116,"['712', '859', '715', '711']"
